rx_time,seq,timestamp_ms,state,lat,lon,gps_alt_m,gps_sats,gps_fix,baro_alt_m,vert_vel_ms,accel_x_g,accel_y_g,accel_z_g,accel_mag_g,quat_w,quat_x,quat_y,quat_z,voltage_v,current_ma,rssi
1785797078.931,0,4126,0,0.00000000,0.00000000,0.00,0,0,-38.86,0.000,0.1960,0.2450,0.0000,0.3138,0.000000,0.000000,0.000000,0.000000,8.002,77.5,-1
1785797079.122,1,4347,0,0.00000000,0.00000000,0.00,0,0,-38.94,-0.055,0.6370,0.0490,0.3920,0.7496,0.000000,0.000000,0.000000,0.000000,8.001,81.2,-1
1785797079.375,2,4572,0,0.00000000,0.00000000,0.00,0,0,-38.82,0.009,-0.5390,0.2940,0.0980,0.6217,0.118408,-0.249268,0.953674,-0.119934,8.002,72.5,-1
1785797079.563,3,4801,0,0.00000000,0.00000000,0.00,0,0,-38.73,0.072,-0.0490,0.0000,0.0980,0.1096,0.118408,-0.249268,0.953674,-0.119873,8.002,68.8,-1
